s_id,special,Do you prefer individual or group projects,Do you have the skill to communicate and persuade others,How do you prefer to communicate with others,How many hours do you spend studying per day,What is the average grade you got in high school in chemistry,What is the average grade you got in high school in physics,What is the average grade you get in high school in mechanics,What is the average grade you get in high school in mathematics,Which do you prefer to solve problems,How do you rate yourself in problem solving and analysis,When you face difficulty managing time effectively and completing tasks on time what will you do,Suppose you are interested in learning the Spanish language and you encounter new phrases or words that you do not know the meaning of after you started learning them what will you do,How do you rate yourself regarding the mathematical solution to engineering problems,What is the importance for you of external training while studying,Can you prepare a work map to solve engineering problems,What field would you like to obtain external training in,How do you manage diversity in the work team,What is your career goal in engineering,Do you prefer to work in the industrial sector academic research or entrepreneurship,Do you have the possibility of selflearning through reading and information technology,Have you ever experienced leading a team or project,What would you like your role to be when you participate in a work or project,How do you see other people modifying the work you have done,How many working hours can you afford in the future,Does the ability to imagine and create something important,What would you do if your team leader or the person responsible for your work told you that everything you did was wrong,With the great development in engineering fields in which engineering field do you prefer to use technology,What do you do when there are different opinions in your work team,Is dividing the required tasks among all your team members important,How likely is the weather to negatively affect you,Would you like to see yourself contributing unique ideas to improve the performance of the project,What do you do with questions or problems that do not have a logical answer or solution,Do you like to connect events together if you are watching your favorite TV show and anticipating what will happen,What is the best solution for managing multiple projects simultaneously from your point of view,Your project had limited resources and you had to make difficult decisions about prioritizing tasks How you will allocate resources,What is a game-changing opportunity that could create more value for the organization than in the past,How do you deal with a difficult manager,How should you deal with an underperforming team member,In your opinion the project life cycle is,In your opinion the most important thing for a project manager,Can you bear sitting in the same place for long hours or do you like tasks that require movement or field visits,Can you determine the classification of risks in the work environment,Can you reconcile work and its pressures and ensure safety and health,Do you feel you have the ability to estimate the costs and benefits related to construction projects,With the existence of artificial intelligence models do you think they can replace place owners such as designers or constructors,Do you like doing calculations manually,How can public places be used to develop civilization from your point of view,Can you break the problem down into smaller parts to come up with creative solutions,Do you feel tired when standing or walking long distances,Do you have any artistic interests writing  drawing  design photography and do you resort to implementing ideas in which you use your imagination
2019121,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019122,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019123,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019124,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019125,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019126,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019127,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019128,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019129,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019130,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019131,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019132,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019133,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019134,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019135,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019136,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019137,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019138,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019139,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019140,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019141,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019142,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019143,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019144,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019145,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019146,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019147,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019148,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019149,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019150,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019151,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019152,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019153,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019154,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019155,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019156,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019157,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019158,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019159,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019160,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019161,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019162,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019163,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019164,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019165,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019166,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019167,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019168,Electric,10100,10001,11000,10010,10010,11000,10100,10010,10001,10001,10001,10010,11000,10010,10010,10010,10100,11000,11000,10001,10100,10100,10100,10001,10010,10010,10100,10100,11000,10010,10100,10100,10100,10100,10010,10100,10010,10001,10001,11000,10010,10001,10010,10010,10100,10001,11000,10100,10010,11000
2019169,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019170,Electric,10001,10100,10010,10010,11000,11000,10001,11000,10100,10010,11000,10100,11000,10001,11000,10100,10010,10100,11000,10001,11000,10001,10001,10010,11000,11000,10001,10100,10100,10100,11000,10001,10100,11000,10010,10010,10100,11000,11000,10100,10100,10010,11000,10100,11000,10100,10010,10010,11000,10001
2019171,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019172,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019173,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019174,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019175,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019176,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019177,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019178,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
2019179,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019180,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019181,Electric,10010,11000,10001,10010,10001,10100,10100,11000,10010,10100,10010,10100,11000,11000,10010,10100,11000,10010,10001,10010,10001,10100,11000,11000,10010,10010,10010,10100,10001,10010,10100,10010,11000,10001,10100,10100,10010,10001,10100,10100,11000,11000,11000,11000,10010,10010,10001,10100,10010,10001
2019182,Civil,10100,10100,11000,10100,11000,11000,10100,11000,10100,10010,11000,10100,10100,10100,10001,10010,10100,10100,10010,11000,10001,11000,10100,10001,10100,10010,10100,10001,10010,11000,10001,10010,10010,10001,11000,10010,10001,10010,10100,10010,10010,10001,10100,10001,11000,10100,11000,10001,10100,10100
2019183,Architecture,10100,10001,11000,10100,10100,11000,10100,10100,10100,10001,11000,10010,10001,10100,11000,10001,11000,10100,11000,10001,10100,10010,10001,10100,10010,10010,11000,10100,10001,11000,11000,10100,10001,10001,10001,10100,10100,11000,11000,11000,10100,10001,10010,11000,11000,10010,10001,11000,10001,11000
